outbreak_category_id,sufferer,dead,district_id,created_at
625b981a-09ea-4328-bd2c-4295df14e932,7,0,3175010,2022-01-01
625b981a-09ea-4328-bd2c-4295df14e932,11,0,3175020,2022-01-01
625b981a-09ea-4328-bd2c-4295df14e932,40,0,3175030,2022-01-01
625b981a-09ea-4328-bd2c-4295df14e932,10,0,3175040,2022-01-01
625b981a-09ea-4328-bd2c-4295df14e932,3,0,3175050,2022-01-01
625b981a-09ea-4328-bd2c-4295df14e932,67,0,3175060,2022-01-01
625b981a-09ea-4328-bd2c-4295df14e932,7,0,3175010,2022-02-01
625b981a-09ea-4328-bd2c-4295df14e932,11,0,3175020,2022-02-01
625b981a-09ea-4328-bd2c-4295df14e932,40,0,3175030,2022-02-01
625b981a-09ea-4328-bd2c-4295df14e932,10,0,3175040,2022-02-01
625b981a-09ea-4328-bd2c-4295df14e932,3,0,3175050,2022-02-01
625b981a-09ea-4328-bd2c-4295df14e932,67,0,3175060,2022-02-01
625b981a-09ea-4328-bd2c-4295df14e932,8,0,3175010,2022-03-01
625b981a-09ea-4328-bd2c-4295df14e932,12,0,3175020,2022-03-01
625b981a-09ea-4328-bd2c-4295df14e932,40,0,3175030,2022-03-01
625b981a-09ea-4328-bd2c-4295df14e932,10,0,3175040,2022-03-01
625b981a-09ea-4328-bd2c-4295df14e932,3,0,3175050,2022-03-01
625b981a-09ea-4328-bd2c-4295df14e932,67,0,3175060,2022-03-01
625b981a-09ea-4328-bd2c-4295df14e932,7,0,3175010,2022-04-01
625b981a-09ea-4328-bd2c-4295df14e932,11,0,3175020,2022-04-01
625b981a-09ea-4328-bd2c-4295df14e932,40,0,3175030,2022-04-01
625b981a-09ea-4328-bd2c-4295df14e932,10,0,3175040,2022-04-01
625b981a-09ea-4328-bd2c-4295df14e932,3,0,3175050,2022-04-01
625b981a-09ea-4328-bd2c-4295df14e932,67,0,3175060,2022-04-01
625b981a-09ea-4328-bd2c-4295df14e932,7,0,3175010,2022-05-01
625b981a-09ea-4328-bd2c-4295df14e932,12,0,3175020,2022-05-01
625b981a-09ea-4328-bd2c-4295df14e932,40,0,3175030,2022-05-01
625b981a-09ea-4328-bd2c-4295df14e932,17,0,3175040,2022-05-01
625b981a-09ea-4328-bd2c-4295df14e932,3,0,3175050,2022-05-01
625b981a-09ea-4328-bd2c-4295df14e932,67,0,3175060,2022-05-01
625b981a-09ea-4328-bd2c-4295df14e932,8,0,3175010,2022-06-01
625b981a-09ea-4328-bd2c-4295df14e932,14,0,3175020,2022-06-01
625b981a-09ea-4328-bd2c-4295df14e932,40,0,3175030,2022-06-01
625b981a-09ea-4328-bd2c-4295df14e932,10,0,3175040,2022-06-01
625b981a-09ea-4328-bd2c-4295df14e932,3,0,3175050,2022-06-01
625b981a-09ea-4328-bd2c-4295df14e932,67,0,3175060,2022-06-01
625b981a-09ea-4328-bd2c-4295df14e932,7,0,3175010,2022-07-01
625b981a-09ea-4328-bd2c-4295df14e932,11,0,3175020,2022-07-01
625b981a-09ea-4328-bd2c-4295df14e932,40,0,3175030,2022-07-01
625b981a-09ea-4328-bd2c-4295df14e932,10,0,3175040,2022-07-01
