outbreak_category_id,sufferer,dead,district_id,created_at
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,2744,44,3175060,2021-01-30
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,3501,56,3175050,2021-01-30
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,4973,240,3175040,2021-01-30
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,3121,214,3175020,2021-01-30
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,4308,363,3175010,2021-01-30
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,10411,612,3175030,2021-01-30
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,308,10,3101010,2021-01-30
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,272,10,3101020,2021-01-30
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,126,12,3101020,2021-02-27
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,133,10,3101010,2021-02-27
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,4965,396,3175060,2021-02-27
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,4554,292,3175050,2021-02-27
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,5646,471,3175040,2021-02-27
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,3493,303,3175020,2021-02-27
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,6299,351,3175010,2021-02-27
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,9943,668,3175030,2021-02-27
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,4024,588,3175060,2021-03-20
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,3660,347,3175050,2021-03-20
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,214,16,3101010,2021-03-20
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,164,24,3101020,2021-03-20
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,3788,566,3175040,2021-03-20
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,3959,324,3175020,2021-03-20
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,5411,421,3175010,2021-03-20
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,6958,813,3175030,2021-03-20
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,3669,635,3175060,2021-04-24
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,3489,375,3175050,2021-04-24
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,87,16,3101010,2021-04-24
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,138,24,3101020,2021-04-24
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,3982,601,3175040,2021-04-24
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,9542,351,3175020,2021-04-24
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,6497,454,3175010,2021-04-24
e089ad6b-e03e-4ab5-8c6a-5ce65455e713,6255,889,3175030,2021-04-24
